expression	gene	type
7.98324217581855	CAV1	T
7.438267896998	CAV1	T
6.84528805949892	CAV1	T
3.0486458096338	CAV1	T
7.2483412797864	CAV1	T
6.97820478380896	CAV1	T
7.30969370806749	CAV1	T
7.7110109444669	CAV1	T
6.09081956397285	CAV1	T
5.28446712348046	CAV1	T
6.17767127752191	CAV1	T
7.5537721165353	CAV1	T
5.39199655920328	CAV1	T
5.66229039508665	CAV1	T
4.08432623986492	CAV1	T
3.20898024005131	CAV1	T
4.30196656034397	CAV1	T
7.79789817327082	CAV1	T
5.226336274685	CAV1	T
7.92150893028428	CAV1	T
6.37426433950033	CAV1	T
6.94807048484094	CAV1	T
4.19261475848583	CAV1	T
6.5733749809239	CAV1	T
4.00818477199483	CAV1	T
6.68428716469189	CAV1	T
6.15997726504281	CAV1	T
6.74735382947806	CAV1	T
6.25610072418507	CAV1	T
6.56129940265771	CAV1	T
6.43538923615671	CAV1	T
6.0239450369871	CAV1	T
3.71170854185301	CAV1	T
7.65516002902293	CAV1	T
6.16952499886972	CAV1	T
4.37304191541526	CAV1	T
6.67334017312331	CAV1	T
5.9745692338363	CAV1	T
5.22748271358049	CAV1	T
6.34625273910141	CAV1	T
5.01341357361063	CAV1	T
5.37832329764346	CAV1	T
6.27861578834999	CAV1	T
3.08014802572991	CAV1	T
2.70866709790869	CAV1	T
7.80354607858647	CAV1	T
4.34136386002449	CAV1	T
5.92278893724842	CAV1	T
4.74045323817317	CAV1	T
6.42592165444715	CAV1	T
8.78721270791913	CAV1	T
4.31539378056922	CAV1	T
7.25994847423009	CAV1	T
4.94972868002037	CAV1	T
6.30208412772661	CAV1	T
8.16974565528666	CAV1	T
3.34119446671695	CAV1	T
7.55782054977134	CAV1	T
7.20002070871896	CAV1	T
6.79557345702016	CAV1	T
7.57214236497377	CAV1	T
2.66129880118025	CAV1	T
4.47373302055906	CAV1	T
5.82262691253869	CAV1	T
2.75237224293435	CAV1	T
6.94404318648496	CAV1	T
9.95716401515899	CAV1	T
4.89210877412365	CAV1	T
7.16433777930814	CAV1	T
7.16226039761138	CAV1	T
3.79968519584362	CAV1	T
3.49345007702792	CAV1	T
4.59057926570289	CAV1	T
7.28450580485444	CAV1	T
5.671484171571	CAV1	T
7.04091653379527	CAV1	T
6.19598749481554	CAV1	T
6.53653164630678	CAV1	T
8.53388256212337	CAV1	T
3.00369757372603	CAV1	T
5.61538598575213	CAV1	T
4.38547245368154	CAV1	T
4.38766651708247	CAV1	T
6.39973951307182	CAV1	T
8.230072328549	CAV1	T
5.13605682474203	CAV1	T
4.46505829079083	CAV1	T
6.95421725258224	CAV1	T
7.55856229708101	CAV1	T
6.09036546471146	CAV1	T
6.00044896896431	CAV1	T
6.33063207454892	CAV1	T
5.40464703194415	CAV1	T
3.33644007603453	CAV1	T
6.87756267486151	CAV1	T
4.60517724271224	CAV1	T
5.36158380053503	CAV1	T
5.82404556124358	CAV1	T
5.03355603171	CAV1	T
7.54610191720586	CAV1	T
3.6589277958172	CAV1	T
5.84655624758733	CAV1	T
7.5067598092447	CAV1	T
4.61187171690973	CAV1	T
7.46164314807391	CAV1	T
5.12602420694685	CAV1	T
5.49870339424095	CAV1	T
3.96473038618917	CAV1	T
5.95915808533722	CAV1	T
6.66890908806066	CAV1	T
7.24321302617678	CAV1	T
4.17243390949663	CAV1	T
5.7209709130569	CAV1	T
7.57192628727887	CAV1	T
5.98157527307003	CAV1	T
5.82866889753619	CAV1	T
7.26146405708528	CAV1	T
6.65674847693056	CAV1	T
7.58474157112767	CAV1	T
4.64098930496722	CAV1	T
3.94771664556401	CAV1	T
8.25708229844875	CAV1	T
7.61786119108832	CAV1	T
6.66700648591744	CAV1	T
2.63239642350705	CAV1	T
5.58921188620608	CAV1	T
7.16800213093476	CAV1	T
5.72732392656772	CAV1	T
7.52237908859745	CAV1	T
2.80110235470085	CAV1	T
7.5098905736216	CAV1	T
7.37461003531302	CAV1	T
7.35547267415116	CAV1	T
5.44750382004514	CAV1	T
4.31963021670782	CAV1	T
4.57597845508624	CAV1	T
8.97300217996476	CAV1	T
5.17278391280768	CAV1	T
6.80152730347232	CAV1	T
6.85952484743748	CAV1	T
6.38631433116571	CAV1	T
6.51332966512684	CAV1	T
5.95615704264656	CAV1	T
7.308561106163	CAV1	T
8.54858458583056	CAV1	T
7.13003714321908	CAV1	T
6.3948701073216	CAV1	T
4.60256377419307	CAV1	T
8.02758259764397	CAV1	T
6.76565143021369	CAV1	T
6.28522187071014	CAV1	T
3.94722477232981	CAV1	T
7.27307663633237	CAV1	T
6.54710382834939	CAV1	T
6.01516278869579	CAV1	T
6.85877425927241	CAV1	T
6.96085918281418	CAV1	T
7.97497148305818	CAV1	T
5.5991258382097	CAV1	T
4.58975929309795	CAV1	T
6.17293428815073	CAV1	T
7.08296225787912	CAV1	T
6.16492080061007	CAV1	T
3.21833527357521	CAV1	T
3.91026543699579	CAV1	T
5.78177069191426	CAV1	T
4.36829202747732	CAV1	T
7.24903947861466	CAV1	T
3.26145995746954	CAV1	T
6.57669324374011	CAV1	T
5.28953645444297	CAV1	T
6.26881612724858	CAV1	T
7.7997180881328	CAV1	T
7.01302112074266	CAV1	T
5.61410967593008	CAV1	T
7.88281237269892	CAV1	T
6.70631366231624	CAV1	T
4.36573172512198	CAV1	T
6.54210742578037	CAV1	T
8.46369642380837	CAV1	T
6.41472768106769	CAV1	T
6.62864996365201	CAV1	T
6.10517707841407	CAV1	T
8.22394618486019	CAV1	T
5.91096477900031	CAV1	T
8.53654019390006	CAV1	T
6.5018371849023	CAV1	T
5.12776037655081	CAV1	T
4.47458789789594	CAV1	T
7.20586947445419	CAV1	T
7.92460113033009	CAV1	T
7.24714995707752	CAV1	T
6.62728070666909	CAV1	T
6.91243071379717	CAV1	T
6.58001384455796	CAV1	T
4.90568303552454	CAV1	T
5.80143030013679	CAV1	T
3.7040319918056	CAV1	T
3.01207070582663	CAV1	T
7.21346976950873	CAV1	T
5.89534697770661	CAV1	T
7.37812055134619	CAV1	T
5.22728785241922	CAV1	T
6.71822187113191	CAV1	T
5.62413307116599	CAV1	T
6.45976684234248	CAV1	T
6.85847093076055	CAV1	T
6.22943353226801	CAV1	T
8.2778652924107	CAV1	T
6.05666003946092	CAV1	T
6.98021613843359	CAV1	T
3.1550777505459	CAV1	T
7.09813949129368	CAV1	T
7.46106929525016	CAV1	T
7.49765627167183	CAV1	T
7.42864993894886	CAV1	T
5.29691840876511	CAV1	T
6.56626840901059	CAV1	T
6.32694696676782	CAV1	T
4.66168120240679	CAV1	T
5.48996321091663	CAV1	T
5.71357897600552	CAV1	T
3.08583422288134	CAV1	T
6.03633254757224	CAV1	T
5.29542475838074	CAV1	T
7.56939387203612	CAV1	T
5.90201229965807	CAV1	T
6.60683808581858	CAV1	T
5.4980612619596	CAV1	T
7.44913708725728	CAV1	T
7.55156677253089	CAV1	T
4.60610935122069	CAV1	T
5.50824450066103	CAV1	T
4.71227606317012	CAV1	T
5.18717270263945	CAV1	T
5.97590756569703	CAV1	T
5.35376506651856	CAV1	T
6.69733319439084	CAV1	T
6.26893773685973	CAV1	T
6.73822740036724	CAV1	T
5.52864413937791	CAV1	T
6.94063778165121	CAV1	T
6.20175087937752	CAV1	T
7.72289699256159	CAV1	T
6.17107569284346	CAV1	T
7.03957490984673	CAV1	T
5.6521184603572	CAV1	T
3.86599401480291	CAV1	T
6.97360094427993	CAV1	T
8.63958454421017	CAV1	T
6.4831855284569	CAV1	T
6.52827484208237	CAV1	T
4.20069894282168	CAV1	T
6.09680579768554	CAV1	T
4.80043246864549	CAV1	T
4.64756606691712	CAV1	T
8.21355239427708	CAV1	T
5.65176295826824	CAV1	T
6.26718837834579	CAV1	T
5.44320945786604	CAV1	T
4.49161134450661	CAV1	T
3.39439725093551	CAV1	T
4.78604792900343	CAV1	T
5.27531701478609	CAV1	T
6.57357115053836	CAV1	T
3.0655128586499	CAV1	T
8.39156797135039	CAV1	T
7.56108245867663	CAV1	T
7.9741202844187	CAV1	T
3.38700788986648	CAV1	T
4.16460448196658	CEACAM5	N
8.35179217408573	CEACAM5	N
6.58685974916994	CEACAM5	N
4.85195987183099	CEACAM5	N
8.47002879015531	CEACAM5	N
4.81132356805193	CEACAM5	N
7.13482056876429	CEACAM5	N
8.57501199010915	CEACAM5	N
8.52974912226046	CEACAM5	N
5.51711850018649	CEACAM5	N
7.31498648546852	CEACAM5	N
6.02980578608083	CEACAM5	N
8.76164364174785	CEACAM5	N
6.88046268855364	CEACAM5	N
5.56894687990709	CEACAM5	N
3.8924502869168	CEACAM5	N
1.07284805708344	CEACAM5	N
1.10354329494965	CEACAM5	N
6.36870218331601	CEACAM5	N
3.63887549791917	CEACAM5	N
5.28904688983869	CEACAM5	N
8.05861630426749	CEACAM5	N
6.01895502417062	CEACAM5	N
5.64444670825358	CEACAM5	N
8.02088884767947	CEACAM5	N
8.40989494271009	CEACAM5	N
0.540253677218895	CEACAM5	N
0.9161219462696	CEACAM5	N
5.45310993229493	CEACAM5	N
1.28551999715737	CEACAM5	N
4.93674722637312	CEACAM5	N
9.45824603141905	CEACAM5	N
5.50450694253997	CEACAM5	N
1.55132060996216	CEACAM5	N
5.73578101602362	CEACAM5	N
1.09065225190517	CEACAM5	N
1.71364259248972	CEACAM5	N
9.71867277217626	CEACAM5	N
0.660339684390179	CEACAM5	N
6.13266094259496	CEACAM5	N
6.55824911036934	CEACAM5	N
9.01423337072048	CEACAM5	N
6.56782666423812	CEACAM5	N
7.43467576073652	CEACAM5	N
2.6914693985178	CEACAM5	T
0.372422158306578	CEACAM5	T
0.821178176713039	CEACAM5	T
2.535118577092	CEACAM5	T
3.64261147277231	CEACAM5	T
4.28851877071033	CEACAM5	T
5.96458715914682	CEACAM5	T
0.26509850717239	CEACAM5	T
2.55375516284785	CEACAM5	T
0.622922481653037	CEACAM5	T
2.79086856177224	CEACAM5	T
4.36507168646591	CEACAM5	T
4.67884883511898	CEACAM5	T
0.0663845139255983	CEACAM5	T
4.04525248609414	CEACAM5	T
2.34032013799121	CEACAM5	T
1.0557912157757	CEACAM5	T
0.794815003550289	CEACAM5	T
6.423107840279	CEACAM5	T
3.22509134172415	CEACAM5	T
2.65874709455024	CEACAM5	T
1.64404961335898	CEACAM5	T
3.34103245686324	CEACAM5	T
2.92354855295275	CEACAM5	T
4.66285889480293	CEACAM5	T
3.27543681121985	CEACAM5	T
4.46342824489202	CEACAM5	T
1.51499077259945	CEACAM5	T
1.4198813224048	CEACAM5	T
6.26565292405686	CEACAM5	T
5.88052611481294	CEACAM5	T
0.534337262353078	CEACAM5	T
3.9054654710525	CEACAM5	T
0.796440934458348	CEACAM5	T
1.00702251118003	CEACAM5	T
1.143390806296	CEACAM5	T
2.07967984647595	CEACAM5	T
2.15755244539279	CEACAM5	T
1.19397039592163	CEACAM5	T
2.19375944496031	CEACAM5	T
0.580163144060613	CEACAM5	T
